date,amount,currency,vendor,memo
2026-01-01,24.97,USD,Notion Labs,INV-54201
2026-01-02,207.93,USD,ZOOM *3579,INV-22970
2026-01-02,475.17,USD,LinkedIn,INV-42524
2026-01-02,156.39,USD,Public Storage,INV-31719
2026-01-02,12.45,USD,ACCT ANALYSIS FEE,INV-32346
2026-01-02,12.45,USD,ACCT ANALYSIS FEE,INV-32346
01/03/2026,212.98,USD,Amtrak,
01/03/26,495.69,USD,HISCOX PREMIUM,INV-73255
2026-01-03,580.15,USD,ADOBE  *5HJH31,INV-61506
2026-01-03,97.08,USD,UBER *EATS KCT263,INV-55602
2026-01-04,299.80,USD,Microsoft 365,
2026-01-04,387.93,USD,Brightline Cleaning,INV-36916
01/04/2026,604.47,USD,COURTYARD BY MARRIOTT SEATTLE WA,
2026-01-04,1335.10,USD,AMZN Mktp US*Y7D8K6,
2026-01-05,94.55,USD,SLACK.COM,INV-16942
2026-01-05,349.81,USD,VERCEL.COM,INV-64137
2026/01/05,1655.06,USD,AMAZON WEB SERV AWS.AM,INV-54208
2026-01-05,3365.39,USD,HARBOR & VANCE  LLP 18X3DQ,INV-41461
2026-01-05,344.69,USD,AIRBNB * HM604ZMQ,INV-29941
2026-01-05,22.84,USD,ACCT ANALYSIS FEE,
2026-01-06,3020.92,USD,UPWORK ESCROW,
2026-01-06,41.00,USD,POS DEBIT SLACK TECHNOLOGIES,INV-25549
2026-01-07,670.78,USD,ADOBE  *4B0PLN,INV-45504
2026/01/07,2623.27,USD,WEWORK ATLANTA GA,INV-34673
2026-01-07,517.12,USD,Adobe,INV-76073
07-01-2026,181.08,USD,UDEMY ONLINE COURSES,INV-29653
2026-01-08,174.74,USD,Zoom,INV-48111
2026-01-08,67.70,USD,EZPASS REBILL AW73P9,
2026-01-08,36.88,USD,SQ *STARBUCKS SEATTLE WA,INV-13956
2026-01-09,37.98,USD,UDEMY.COM,INV-77368
2026-01-10,146.51,USD,CONED BILL PAY,INV-18273
2026-01-10,605.78,USD,O'REILLY MEDIA INC,
2026-01-11,523.18,USD,WEWORK AUSTIN TX,INV-75577
2026-01-11,337.48,USD,MICROSOFT #G745W26,INV-10444
2026-01-12,434.27,USD,Cloudflare,INV-45142
2026-01-12,145.82,USD,City Water Dept,INV-57508
2026-01-13,513.08,USD,O'Reilly Media,INV-56152
2026-01-13,265.76,USD,Vercel,INV-53356
2026-01-13,530.54,USD,Google Ads,INV-62376
2026-01-13,1777.42,USD,UPWORK.COM PORTLAND OR,
2026-01-13,97.10,USD,CITY WATER DEPT,INV-96992
01/14/26,30.01,CAD,VERCEL INC V43112,INV-35186
2026-01-14,366.88,USD,Cloudflare,INV-49307
2026-01-14,390.07,USD,FEDEXOFFICE CHICAGO IL,INV-35902
2026-01-14,220.25,USD,BEST BUY #8800  ,INV-48286
2026-01-15,154.84,USD,Slack,INV-58839
01/15/2026,338.22,USD,Vercel,INV-91697
01/15/2026,208.81,USD,MICROSOFT*365,INV-21999
2026/01/16,395.11,USD,CONED BILL PAY,INV-10073
2026-01-16,704.49,USD,CON EDISON 054U9R,INV-87453
2026-01-16,214.74,USD,GitHub,
2026-01-17,314.85,USD,Gusto,
2026-01-17,147.10,USD,AMTRAK 8AVT61,
2026-01-17,184.26,USD,SLACK T1Z4NK5,INV-55802
2026-01-17,591.31,USD,ADOBE  *FJ7475,INV-15602
2026-01-17,82.60,USD,City Water Dept,INV-99261
2026-01-17,1444.28,USD,Meta Platforms,INV-49727
2026-01-17,741.91,USD,FB ADS PORTLAND OR,INV-75923
2026-01-18,270.01,CAD,FIGMA INC  ,INV-17072
2026-01-18,270.01,CAD,FIGMA INC  ,INV-17072
2026-01-18,46.86,USD,FIGMA MONTHLY XUR759  ,INV-42114
2026-01-18,329.95,USD,STAPLES.COM 48MXR5  ,
2026-01-18,59.86,USD,STRIPE FEE 1T31ZS,INV-94322
2026-01-18,155.86,USD,PUBLIC STORAGE  #1793,INV-30795
2026-01-18,1847.06,USD,GOOGLE *ADS #1171,INV-37837
2026-01-20,450.44,USD,Comcast Business,INV-65412
20 Jan 2026,589.66,USD,VERCEL.COM,INV-26018
2026-01-20,553.52,EUR,HISCOX PREMIUM,INV-44215
2026-01-20,371.95,USD,Cloudflare,INV-61541
2026-01-20,142.43,USD,AMTRAK .COM ATLANTA GA,INV-35299
2026-01-21,1656.31,USD,WEWORK*V7907E,INV-11551
2026-01-21,3634.30,USD,AWS EMEA 186DHS,
2026-01-21,67.03,USD,E-ZPass,INV-26294
01/21/2026,88.52,USD,UBER TRIP WU7X83,INV-49891
21 Jan 2026,164.61,USD,Notion Labs,INV-36268
2026-01-21,3636.96,USD,AWS EMEA 83XP22,INV-82750
2026-01-22,251.28,USD,UDEMY.COM,INV-15007
2026-01-22,1534.26,USD,QUILL ACCOUNTING CHICAGO IL,INV-59046
22 Jan 2026,169.59,USD,PUBLIC STORAGE  #2286,INV-44066
22 Jan 2026,169.59,USD,PUBLIC STORAGE  #2286,INV-44066
2026-01-22,564.28,USD,Amazon,
2026-01-23,121.20,USD,Airbnb,
2026-01-23,1016.11,USD,BESTBUY.COM 141132,INV-93569
2026-01-24,31.89,USD,EZPASS NEW YORK NY,
2026-01-24,1190.87,USD,WEWORK SAN JOSE CA,
2026-01-24,117.12,USD,E-ZPass,INV-11537
2026-01-24,359.12,USD,CLOUDFLARE *QY5S26,INV-44437
2026-01-24,37.37,USD,STAPLES #2015,INV-77710
2026-01-25,178.56,USD,GUSTO PAYROLL FEE,INV-78659
01/25/26,2200.90,USD,UPWORK ESCROW,
2026-01-25,358.96,USD,ZENPAYROLL INC,INV-57265
2026-01-25,147.69,USD,NOTION LABS INC,INV-64169
2026-01-25,69.22,USD,STAPLES #3055,INV-77710
2026-01-26,248.79,GBP,MSFT *GITHUB,INV-46968
2026-01-26,1269.83,USD,Google Cloud,
